reel_id,posting_day,posting_time,niche,trending_audio,reel_length_seconds,hook_type,first_frame_type,views,likes,shares,saves,skip_rate,comments,performance
19,Saturday,18:30,College,Yes,9,Relatable,Group,1200000,96000,58000,2300,33.3,463,Explosive
20,Sunday,22:00,College+Cinematic,Yes,15,Emotional,Group,24100,768,167,52,39.1,18,Mid
21,Sunday,22:00,College+Cinematic,Yes,42,Emotional,Group,30000,773,292,86,41.8,59,Mid
22,Tuesday,18:30,College+Vlog,No,12,Curiosity,Scene,26100,647,192,84,37.5,12,Mid
23,Thursday,19:30,Student+Funny,Yes,10,Relatable,Text+Face,920000,98800,53000,6400,29.9,218,Explosive
24,Saturday,23:30,Friendship,Yes,11,Curiosity,Scene+Face,66500,4700,4100,277,43.3,16,Mid
25,Friday,19:00,College+Cinematic,Yes,12,Emotional,Scene,126000,4500,1300,430,40.0,28,Viral
26,Saturday,18:30,Student+Funny,Yes,9,Relatable,Text+Face,2200000,120000,130000,5300,31.9,621,Explosive
27,Wednesday,14:00,Cinematic,No,10,Relatable,Scene,3600,185,20,11,53.6,10,Bad
28,Thursday,18:00,Student+Funny,No,9,Relatable,Text+Face,658000,32000,39000,1300,40.4,99,Explosive
29,Friday,18:30,Friendship+Funny,No,14,Shock,Group,593000,27400,21000,1500,31.4,132,Explosive
30,Thursday,20:30,Friendship+Funny,Yes,10,Curiosity,Group,913000,67000,42000,1700,41.5,888,Explosive
S31,Sunday,14:00,Student+Funny,Yes,28,Curiosity,Text+Face,42755,2014,284,83,48.2,3,Mid
S32,Saturday,19:00,Student+Funny,No,9,Curiosity,Text+Face,1833230,82418,56143,4161,28.6,200,Explosive
S33,Thursday,18:00,Student+Funny,No,10,Wordplay,Group,2113095,91869,136345,6064,26.0,210,Explosive
S34,Tuesday,21:30,Student+Funny,No,11,Curiosity,Text+Face,288885,12591,9070,728,42.8,38,Viral
S35,Saturday,22:00,Student+Funny,No,12,Shock,Text+Face,32146,1828,203,43,44.2,2,Mid
S36,Wednesday,22:00,Student+Funny,No,14,Wordplay,Text+Face,39628,1380,376,67,39.1,2,Mid
S37,Sunday,13:00,Student+Funny,Yes,18,Curiosity,Group,2270,69,10,0,52.8,0,Bad
S38,Monday,21:30,Student+Funny,Yes,9,Shock,Text+Face,3615962,173864,143788,5441,31.3,299,Explosive
S39,Friday,20:00,Student+Funny,No,14,Wordplay,Text+Face,298899,14653,5543,320,35.8,42,Viral
S40,Friday,19:30,Student+Funny,Yes,9,Shock,Text+Face,2889205,154380,150573,8026,33.8,179,Explosive
S41,Thursday,08:00,Student+Funny,Yes,14,Shock,Text+Face,8268,187,35,3,58.4,0,Bad
S42,Monday,18:30,Student+Funny,Yes,10,Curiosity,Text+Face,2068996,88729,139907,4536,35.5,264,Explosive
S43,Sunday,21:30,Student+Funny,No,11,Wordplay,Text+Face,3469928,223868,181158,8983,28.4,299,Explosive
S44,Tuesday,17:00,Student+Funny,No,13,Wordplay,Text+Face,74530,4128,670,82,41.9,6,Mid
S45,Sunday,12:00,Student+Funny,No,22,Curiosity,Group,23625,1179,71,17,38.1,1,Mid
S46,Saturday,18:00,Student+Funny,No,14,Wordplay,Group,78451,3882,701,116,42.6,5,Mid
S47,Tuesday,15:00,Student+Funny,Yes,21,Relatable,Text+Face,56373,3223,340,57,51.7,4,Mid
S48,Saturday,17:00,Student+Funny,No,8,Wordplay,Group,358188,16230,13687,1041,33.3,67,Viral
S49,Thursday,12:00,Student+Funny,Yes,21,Wordplay,Group,98328,3172,505,77,46.0,4,Mid
S50,Friday,14:00,Student+Funny,No,23,Wordplay,Text+Face,23260,1126,230,16,46.0,1,Mid
S51,Sunday,17:00,Student+Funny,Yes,12,Curiosity,Text+Face,218604,11497,3866,485,39.1,13,Viral
S52,Monday,13:00,Student+Funny,No,15,Wordplay,Group,13405,404,33,3,61.3,0,Bad
S53,Monday,12:00,Student+Funny,No,26,Relatable,Text+Face,36271,1130,185,47,50.0,1,Mid
S54,Saturday,17:00,Student+Funny,No,11,Curiosity,Group,60165,2780,448,95,38.7,5,Mid
S55,Friday,21:30,Student+Funny,Yes,9,Shock,Text+Face,200344,9121,2489,371,41.2,30,Viral
S56,Tuesday,17:00,Student+Funny,Yes,6,Shock,Text+Face,4705762,278336,238430,13982,27.4,542,Explosive
S57,Saturday,15:00,Student+Funny,Yes,25,Curiosity,Text+Face,24866,780,81,44,38.2,1,Mid
S58,Friday,18:00,Student+Funny,No,9,Relatable,Group,359909,14915,13847,998,38.1,32,Viral
S59,Monday,19:00,Student+Funny,No,11,Relatable,Group,128227,7600,1384,278,34.8,24,Viral
S60,Friday,10:00,Student+Funny,Yes,17,Shock,Group,9576,427,34,3,61.8,0,Bad
S61,Thursday,21:30,Student+Funny,Yes,12,Relatable,Text+Face,227590,14872,2434,598,33.8,21,Viral
S62,Tuesday,18:00,Student+Funny,No,10,Relatable,Text+Face,97244,4515,579,131,43.9,6,Mid
S63,Saturday,13:00,Student+Funny,No,10,Relatable,Text+Face,12946,425,51,10,63.8,0,Bad
S64,Sunday,18:30,Student+Funny,Yes,11,Curiosity,Text+Face,548769,36856,18466,1074,30.1,105,Explosive
S65,Sunday,18:00,Student+Funny,Yes,6,Relatable,Text+Face,2991663,138758,202977,10003,32.8,200,Explosive
S66,Sunday,20:00,Student+Funny,Yes,10,Relatable,Text+Face,3676241,253879,211461,12906,32.1,661,Explosive
S67,Sunday,20:00,Student+Funny,Yes,26,Wordplay,Group,21914,713,217,23,47.9,1,Mid
S68,Saturday,23:00,Student+Funny,No,10,Shock,Text+Face,7484,234,28,2,59.7,0,Bad
S69,Friday,21:00,Student+Funny,Yes,6,Wordplay,Text+Face,147010,8743,4760,318,34.3,28,Viral
S70,Thursday,12:00,Student+Funny,No,18,Wordplay,Group,98121,4580,515,55,49.2,9,Mid
S71,Sunday,13:00,Student+Funny,No,12,Shock,Text+Face,10588,356,37,7,58.3,0,Bad
S72,Monday,20:00,Student+Funny,Yes,9,Relatable,Group,234264,10563,6888,416,34.2,19,Viral
S73,Thursday,14:00,Student+Funny,No,15,Wordplay,Group,4988,221,18,1,56.6,0,Bad
S74,Saturday,17:30,Student+Funny,Yes,11,Shock,Group,4444976,251352,162656,9929,26.1,740,Explosive
S75,Friday,22:00,Student+Funny,No,17,Wordplay,Text+Face,86580,4774,543,97,51.6,4,Mid
S76,Tuesday,21:30,Student+Funny,Yes,12,Curiosity,Text+Face,334059,20639,10927,586,43.0,28,Viral
S77,Wednesday,12:00,Student+Funny,No,14,Shock,Text+Face,67540,2751,256,101,47.4,4,Mid
S78,Saturday,19:00,Student+Funny,No,14,Relatable,Group,416727,24044,10168,767,34.0,69,Viral
S79,Saturday,19:00,Student+Funny,Yes,6,Shock,Text+Face,335967,17392,7768,943,36.9,34,Viral
S80,Friday,22:00,Student+Funny,No,27,Curiosity,Text+Face,27501,1589,177,24,51.3,1,Mid
S81,Saturday,21:30,College+Cinematic,Yes,6,Curiosity,Scene,511677,33795,17080,1428,29.9,101,Explosive
S82,Friday,20:00,College+Cinematic,No,20,Curiosity,Scene+Face,20299,698,79,31,48.1,1,Mid
S83,Saturday,17:00,College+Cinematic,Yes,20,Emotional,Scene+Face,37885,1565,118,37,41.4,1,Mid
S84,Thursday,20:00,College+Cinematic,Yes,10,Emotional,Scene,359529,19553,9896,889,36.9,48,Viral
S85,Friday,17:00,College+Cinematic,Yes,17,Relatable,Scene+Face,63516,2584,629,89,47.0,2,Mid
S86,Tuesday,22:00,College+Cinematic,No,17,Curiosity,Scene,12185,264,53,2,48.6,0,Bad
S87,Saturday,23:00,College+Cinematic,No,18,Curiosity,Scene+Face,14638,508,56,12,47.1,0,Bad
S88,Friday,10:00,College+Cinematic,No,7,Relatable,Scene,6668,234,13,1,52.8,0,Bad
S89,Thursday,14:00,College+Cinematic,No,9,Curiosity,Scene,5853,196,18,3,57.7,0,Bad
S90,Saturday,13:00,College+Cinematic,No,16,Emotional,Scene,7337,237,17,6,57.7,0,Bad
S91,Sunday,21:30,College+Cinematic,No,7,Emotional,Scene,396448,22690,13976,507,33.7,67,Viral
S92,Wednesday,22:00,College+Cinematic,Yes,8,Relatable,Scene,13664,402,45,10,58.4,0,Bad
S93,Saturday,15:00,College+Cinematic,No,18,Emotional,Scene+Face,45205,1887,303,27,46.1,2,Mid
S94,Friday,19:30,College+Cinematic,Yes,8,Curiosity,Scene,4073113,238693,209107,14995,26.8,685,Explosive
S95,Wednesday,12:00,College+Cinematic,No,12,Emotional,Scene,75695,3392,626,49,40.9,5,Mid
S96,Thursday,21:00,College+Cinematic,Yes,10,Relatable,Scene,408752,16499,11425,871,37.5,64,Viral
S97,Friday,13:00,College+Cinematic,No,13,Relatable,Scene+Face,7199,348,11,4,54.2,0,Bad
S98,Saturday,23:00,College+Cinematic,No,15,Relatable,Scene,8856,338,23,6,49.7,0,Bad
S99,Sunday,23:00,College+Cinematic,Yes,7,Emotional,Scene+Face,12643,378,28,4,50.4,0,Bad
S100,Thursday,14:00,College+Cinematic,No,5,Emotional,Scene+Face,6273,226,29,2,53.0,0,Bad
S101,Saturday,12:00,College+Cinematic,No,12,Relatable,Scene,57361,2441,539,59,40.5,4,Mid
S102,Saturday,13:00,College+Cinematic,No,19,Curiosity,Scene,8580,393,26,2,55.3,0,Bad
S103,Thursday,22:00,College+Cinematic,Yes,18,Relatable,Scene,3264,68,9,2,50.7,0,Bad
S104,Saturday,23:00,College+Cinematic,No,12,Curiosity,Scene+Face,11597,267,27,3,55.9,0,Bad
S105,Thursday,15:00,College+Cinematic,Yes,10,Curiosity,Scene+Face,75857,3775,241,63,40.2,3,Mid
S106,Saturday,18:00,College+Cinematic,No,13,Curiosity,Scene,35245,1162,165,55,47.1,3,Mid
S107,Sunday,17:00,College+Cinematic,Yes,15,Emotional,Scene+Face,16105,524,71,8,50.5,0,Mid
S108,Friday,17:00,College+Cinematic,No,22,Curiosity,Scene+Face,85134,3481,275,148,42.7,4,Mid
S109,Saturday,17:00,College+Cinematic,Yes,14,Curiosity,Scene,156045,10307,3842,435,41.4,26,Viral
S110,Friday,11:00,College+Cinematic,No,15,Emotional,Scene+Face,3661,144,9,1,54.2,0,Bad
S111,Friday,15:00,Cinematic,No,29,Curiosity,Text+Scene,67983,3006,367,69,40.2,4,Mid
S112,Saturday,14:00,Cinematic,Yes,11,Emotional,Text+Scene,97254,2932,361,94,38.0,8,Mid
S113,Sunday,17:00,Cinematic,Yes,7,Relatable,Scene,449178,27834,15360,1040,39.0,69,Viral
S114,Sunday,12:00,Cinematic,No,23,Relatable,Scene,71942,2253,512,143,38.7,4,Mid
S115,Friday,21:30,Cinematic,No,7,Curiosity,Scene,268705,17159,8693,298,34.3,31,Viral
S116,Friday,22:00,Cinematic,No,14,Emotional,Scene+Face,21541,1096,115,34,39.7,0,Mid
S117,Thursday,08:00,Cinematic,Yes,14,Emotional,Scene+Face,9430,254,10,8,62.9,0,Bad
S118,Sunday,18:00,Cinematic,Yes,10,Relatable,Text+Scene,22526,701,143,30,38.7,1,Mid
S119,Thursday,20:00,Cinematic,Yes,24,Emotional,Text+Scene,24390,991,122,23,41.3,1,Mid
S120,Monday,12:00,Cinematic,Yes,12,Emotional,Scene+Face,25577,1501,219,22,43.5,1,Mid
S121,Sunday,23:00,Cinematic,No,19,Relatable,Text+Scene,1442,46,6,0,60.4,0,Bad
S122,Tuesday,11:00,Cinematic,Yes,7,Relatable,Scene,5576,121,27,5,61.0,0,Bad
S123,Sunday,14:00,Cinematic,No,12,Curiosity,Scene+Face,13512,458,47,10,64.9,0,Bad
S124,Sunday,14:00,Cinematic,No,8,Relatable,Text+Scene,13386,651,59,11,49.3,0,Bad
S125,Friday,15:00,Cinematic,Yes,23,Relatable,Text+Scene,60271,3547,226,111,38.7,5,Mid
S126,Tuesday,14:00,Cinematic,No,13,Relatable,Scene,8384,385,32,5,58.9,0,Bad
S127,Thursday,15:00,Cinematic,Yes,14,Curiosity,Scene,23995,1223,103,43,51.0,2,Mid
S128,Friday,22:00,Cinematic,Yes,16,Curiosity,Scene+Face,28664,1563,252,36,48.4,0,Mid
S129,Thursday,20:00,Cinematic,No,12,Curiosity,Scene,15771,860,61,14,43.3,0,Mid
S130,Friday,18:00,Cinematic,No,6,Curiosity,Text+Scene,375154,15769,7138,906,43.3,22,Viral
S131,Friday,12:00,Cinematic,Yes,27,Relatable,Scene+Face,72464,3143,545,100,51.9,4,Mid
S132,Tuesday,17:00,Cinematic,Yes,12,Relatable,Text+Scene,278361,13419,11110,515,40.5,32,Viral
S133,Wednesday,22:00,Cinematic,Yes,26,Emotional,Scene,34554,1172,313,67,48.8,1,Mid
S134,Saturday,23:00,Cinematic,No,16,Emotional,Text+Scene,5023,148,19,4,55.0,0,Bad
S135,Sunday,21:00,Cinematic,Yes,9,Relatable,Text+Scene,1416655,60540,51206,3344,27.1,183,Explosive
S136,Monday,14:00,Cinematic,No,16,Emotional,Scene+Face,2200,52,8,1,55.7,0,Bad
S137,Friday,23:00,Cinematic,Yes,13,Relatable,Scene+Face,14773,361,42,10,54.8,0,Bad
S138,Sunday,21:30,Cinematic,No,14,Curiosity,Scene,389714,24347,5603,469,43.0,52,Viral
S139,Monday,22:00,Cinematic,No,5,Relatable,Scene,8006,181,19,1,52.9,0,Bad
S140,Thursday,18:00,Cinematic,Yes,12,Relatable,Text+Scene,116473,7001,4489,145,42.0,21,Viral
S141,Friday,12:00,Cinematic,No,24,Curiosity,Text+Scene,75697,4091,406,130,50.2,2,Mid
S142,Sunday,18:30,Cinematic,No,8,Relatable,Scene+Face,1237997,65809,73033,3441,25.5,182,Explosive
S143,Friday,15:00,Cinematic,No,16,Relatable,Text+Scene,82124,4086,532,109,40.5,6,Mid
S144,Thursday,12:00,Cinematic,Yes,18,Curiosity,Text+Scene,50563,1825,449,38,41.1,4,Mid
S145,Friday,21:00,Cinematic,No,6,Emotional,Scene+Face,3104039,165005,183170,7635,36.3,561,Explosive
S146,Sunday,22:00,Cinematic,No,9,Curiosity,Scene+Face,6065,206,26,2,53.5,0,Bad
S147,Thursday,20:00,Cinematic,No,7,Relatable,Scene+Face,2715250,128748,176029,6342,36.1,345,Explosive
S148,Thursday,10:00,Cinematic,No,9,Curiosity,Scene+Face,12940,262,43,8,54.2,0,Bad
S149,Thursday,22:00,Cinematic,Yes,13,Curiosity,Scene+Face,43645,2394,262,38,45.3,3,Mid
S150,Saturday,22:00,Cinematic,No,14,Emotional,Text+Scene,12740,562,42,11,55.5,0,Bad
S151,Friday,10:00,Friendship+Funny,Yes,5,Wordplay,Text+Face,10717,279,39,10,52.5,0,Bad
S152,Saturday,20:00,Friendship+Funny,Yes,23,Relatable,Group,95292,4812,617,135,49.7,8,Mid
S153,Friday,13:00,Friendship+Funny,No,15,Wordplay,Group,10053,319,36,2,50.9,0,Bad
S154,Sunday,21:30,Friendship+Funny,No,14,Wordplay,Group,136192,6627,1807,313,41.3,22,Viral
S155,Sunday,18:00,Friendship+Funny,No,10,Shock,Text+Face,4180253,182285,216451,4252,30.7,412,Explosive
S156,Thursday,23:00,Friendship+Funny,Yes,13,Wordplay,Group,8412,280,8,5,57.7,0,Bad
S157,Saturday,10:00,Friendship+Funny,Yes,17,Shock,Group,7448,154,17,3,56.3,0,Bad
S158,Friday,20:00,Friendship+Funny,No,13,Wordplay,Group,482209,19552,7654,489,40.9,70,Viral
S159,Sunday,21:30,Friendship+Funny,Yes,11,Wordplay,Group,956393,52196,38514,1773,29.6,91,Explosive
S160,Saturday,15:00,Friendship+Funny,No,15,Shock,Text+Face,25360,898,196,19,43.8,1,Mid
S161,Saturday,17:00,Friendship+Funny,Yes,14,Shock,Group,422397,23868,4774,957,38.3,81,Viral
S162,Friday,22:00,Friendship+Funny,No,16,Relatable,Text+Face,3034,93,14,2,58.6,0,Bad
S163,Thursday,13:00,Friendship+Funny,No,15,Shock,Group,11616,284,31,3,61.6,0,Bad
S164,Sunday,17:00,Friendship+Funny,Yes,6,Wordplay,Group,3231923,182283,126943,7022,33.3,449,Explosive
S165,Friday,17:30,Friendship+Funny,No,8,Wordplay,Group,3729189,226634,259738,5165,30.6,244,Explosive
S166,Saturday,10:00,Friendship+Funny,Yes,6,Wordplay,Group,3282,97,6,1,63.1,0,Bad
S167,Friday,17:30,Friendship+Funny,Yes,7,Relatable,Group,3560593,167080,171885,5593,32.7,205,Explosive
S168,Thursday,21:30,Friendship+Funny,No,10,Relatable,Group,324918,22331,4957,773,33.7,26,Viral
S169,Friday,21:30,Friendship+Funny,Yes,11,Wordplay,Group,2221368,96840,153200,2354,31.2,356,Explosive
S170,Saturday,17:00,Friendship+Funny,Yes,11,Relatable,Text+Face,402108,17624,13986,1031,34.0,62,Viral
S171,Thursday,13:00,Friendship,No,6,Emotional,Face,13879,480,47,11,62.5,0,Bad
S172,Friday,12:00,Friendship,No,12,Emotional,Group,58019,2145,206,96,44.7,2,Mid
S173,Friday,23:00,Friendship,Yes,17,Emotional,Face,756,28,1,0,47.0,0,Bad
S174,Wednesday,12:00,Friendship,No,11,Emotional,Face,98612,3665,394,67,47.7,5,Mid
S175,Tuesday,13:00,Friendship,Yes,8,Relatable,Scene+Face,3019,119,13,2,51.0,0,Bad
S176,Thursday,18:00,Friendship,Yes,10,Curiosity,Scene+Face,3961872,159786,184806,9682,34.5,209,Explosive
S177,Thursday,14:00,Friendship,Yes,22,Curiosity,Face,85915,4199,377,51,42.5,2,Mid
S178,Thursday,12:00,Friendship,No,15,Curiosity,Scene+Face,25811,1443,121,38,40.1,2,Mid
S179,Saturday,18:00,Friendship,No,27,Emotional,Face,81886,3231,640,94,51.4,3,Mid
S180,Sunday,14:00,Friendship,No,17,Relatable,Scene+Face,34291,1943,211,62,44.3,1,Mid
S181,Sunday,22:00,Friendship,Yes,24,Relatable,Group,83181,2758,270,105,47.2,4,Mid
S182,Friday,17:00,Friendship,No,25,Curiosity,Scene+Face,50031,2325,440,30,43.0,2,Mid
S183,Tuesday,17:00,Friendship,No,10,Curiosity,Group,1649360,78874,54049,6398,25.1,200,Explosive
S184,Sunday,14:00,Friendship,No,22,Relatable,Scene+Face,78586,4271,596,54,46.2,4,Mid
S185,Sunday,20:00,Friendship,Yes,9,Relatable,Group,1236577,59620,83014,3744,30.1,153,Explosive
S186,Monday,21:00,Friendship,No,13,Curiosity,Face,467570,22241,15266,898,42.3,82,Viral
S187,Saturday,23:00,Friendship,Yes,16,Curiosity,Scene+Face,8323,348,11,6,51.8,0,Bad
S188,Sunday,18:00,Friendship,Yes,10,Curiosity,Group,3253732,140489,117338,4168,34.7,444,Explosive
S189,Sunday,14:00,Friendship,No,17,Curiosity,Face,13281,376,23,12,60.4,0,Bad
S190,Thursday,21:00,Friendship,Yes,12,Emotional,Scene+Face,315478,17579,11180,845,37.1,55,Viral
S191,Monday,12:00,Friendship,Yes,16,Emotional,Group,40976,2306,408,43,40.1,2,Mid
S192,Saturday,21:30,Friendship,Yes,9,Curiosity,Face,101287,5934,2093,262,40.7,6,Viral
S193,Friday,20:00,Friendship,No,6,Relatable,Face,381177,15850,9376,838,35.5,53,Viral
S194,Monday,19:00,Friendship,Yes,6,Relatable,Scene+Face,413958,25346,13933,842,36.7,48,Viral
S195,Wednesday,17:00,Friendship,Yes,7,Curiosity,Group,394265,27579,14979,900,39.6,44,Viral
S196,Saturday,22:00,Friendship,Yes,26,Curiosity,Scene+Face,63609,3029,272,66,43.4,3,Mid
S197,Monday,08:00,Friendship,No,15,Emotional,Face,11847,256,52,4,63.7,0,Bad
S198,Friday,17:00,Friendship,No,19,Relatable,Group,21851,1132,141,25,39.9,1,Mid
S199,Saturday,22:00,Friendship,No,14,Emotional,Group,1499,32,3,0,64.2,0,Bad
S200,Sunday,14:00,Friendship,Yes,25,Emotional,Scene+Face,56443,1750,194,104,38.9,2,Mid
S201,Friday,12:00,College,Yes,24,Relatable,Text+Face,22551,1139,153,44,43.9,1,Mid
S202,Thursday,15:00,College,No,20,Relatable,Face,53955,2403,224,103,39.1,4,Mid
S203,Saturday,14:00,College,No,20,Wordplay,Face,58562,3173,363,33,38.9,4,Mid
S204,Wednesday,20:00,College,Yes,10,Relatable,Group,1421965,94325,92688,5135,31.8,122,Explosive
S205,Friday,10:00,College,No,13,Wordplay,Group,5483,156,14,4,48.7,0,Bad
S206,Friday,19:00,College,No,14,Curiosity,Face,309331,15037,10450,666,35.2,44,Viral
S207,Saturday,21:00,College,Yes,9,Curiosity,Group,3260629,165943,214834,4912,27.2,411,Explosive
S208,Friday,22:00,College,No,26,Wordplay,Text+Face,82880,4892,745,56,42.4,6,Mid
S209,Thursday,17:00,College,No,10,Shock,Text+Face,1246797,82859,58723,1853,33.3,64,Explosive
S210,Friday,08:00,College,No,8,Wordplay,Text+Face,14615,439,31,13,53.8,0,Bad
S211,Saturday,12:00,College,No,19,Shock,Group,57008,3126,304,43,43.0,4,Mid
S212,Saturday,20:00,College,Yes,28,Relatable,Text+Face,31257,1513,189,42,48.4,2,Mid
S213,Saturday,21:30,College,Yes,7,Shock,Face,230041,13938,2781,310,40.4,41,Viral
S214,Thursday,21:00,College,Yes,8,Shock,Face,1469884,74686,48124,4835,36.3,163,Explosive
S215,Saturday,17:00,College,No,25,Wordplay,Text+Face,37124,2124,285,49,47.3,1,Mid
S216,Friday,21:30,College,Yes,9,Curiosity,Text+Face,144288,7600,1624,357,43.7,27,Viral
S217,Thursday,08:00,College,No,16,Shock,Group,761,37,2,0,61.5,0,Bad
S218,Thursday,22:00,College,Yes,12,Wordplay,Group,37381,1173,260,34,39.0,3,Mid
S219,Tuesday,12:00,College,No,10,Shock,Group,87442,4375,625,160,50.6,3,Mid
S220,Tuesday,17:00,College,Yes,7,Wordplay,Group,3080072,184079,123487,5115,35.3,379,Explosive
S221,Sunday,18:00,College+Vlog,Yes,6,Relatable,Group,210725,14570,4201,413,34.5,16,Viral
S222,Saturday,18:00,College+Vlog,No,27,Relatable,Group,85831,4747,428,102,38.7,5,Mid
S223,Thursday,10:00,College+Vlog,No,10,Emotional,Scene,9447,221,22,5,48.6,0,Bad
S224,Friday,19:00,College+Vlog,Yes,14,Curiosity,Face,255948,15842,9333,599,34.8,22,Viral
S225,Saturday,08:00,College+Vlog,No,17,Relatable,Scene,9727,209,19,2,47.0,0,Bad
S226,Saturday,17:30,College+Vlog,Yes,8,Curiosity,Group,2385265,149163,78332,2959,26.6,246,Explosive
S227,Sunday,23:00,College+Vlog,No,18,Relatable,Group,7781,188,11,2,57.8,0,Bad
S228,Saturday,18:00,College+Vlog,Yes,20,Curiosity,Group,15995,682,81,19,40.0,1,Mid
S229,Monday,14:00,College+Vlog,Yes,11,Curiosity,Group,1477,46,6,0,61.7,0,Bad
S230,Friday,19:30,College+Vlog,Yes,10,Curiosity,Scene,4359030,294230,205918,8528,35.7,598,Explosive
S231,Thursday,12:00,College+Vlog,No,20,Curiosity,Group,69887,2190,582,134,40.3,3,Mid
S232,Friday,10:00,College+Vlog,Yes,16,Emotional,Face,1968,89,6,1,57.7,0,Bad
S233,Friday,22:00,College+Vlog,No,14,Relatable,Group,60212,2051,222,48,51.7,5,Mid
S234,Friday,11:00,College+Vlog,No,11,Curiosity,Scene,13551,318,65,6,52.2,0,Bad
S235,Friday,13:00,College+Vlog,Yes,14,Relatable,Group,948,46,3,0,49.7,0,Bad
S236,Friday,19:30,College+Vlog,No,8,Relatable,Face,3690561,167238,185627,11190,35.7,314,Explosive
S237,Sunday,17:00,College+Vlog,No,12,Emotional,Group,68229,3047,396,135,44.2,6,Mid
S238,Saturday,17:00,College+Vlog,Yes,9,Curiosity,Face,290218,16336,4885,849,33.4,54,Viral
S239,Saturday,18:00,College+Vlog,Yes,25,Emotional,Scene,82507,3157,754,158,39.7,3,Mid
S240,Friday,17:00,College+Vlog,Yes,19,Curiosity,Face,62830,2716,454,118,45.3,3,Mid
S241,Saturday,14:00,College+Vlog,Yes,17,Curiosity,Face,8816,429,15,2,60.8,0,Bad
S242,Friday,08:00,College+Vlog,Yes,8,Relatable,Face,14587,388,57,11,47.6,1,Bad
S243,Monday,19:00,College+Vlog,Yes,8,Curiosity,Scene,421774,20398,6883,1229,36.9,21,Viral
S244,Sunday,21:00,College+Vlog,Yes,6,Curiosity,Group,2038020,120217,66767,2072,25.6,388,Explosive
S245,Saturday,12:00,College+Vlog,No,22,Emotional,Group,56448,1824,330,62,39.2,1,Mid
S246,Thursday,15:00,College+Vlog,No,11,Curiosity,Group,59419,2316,210,74,51.4,5,Mid
S247,Saturday,17:00,College+Vlog,No,23,Curiosity,Scene,88389,3715,446,64,41.0,4,Mid
S248,Monday,20:00,College+Vlog,Yes,9,Relatable,Face,3215718,163147,179799,4401,37.7,589,Explosive
S249,Friday,20:00,College+Vlog,No,21,Curiosity,Scene,59733,2621,277,57,46.9,3,Mid
S250,Friday,17:00,College+Vlog,No,15,Relatable,Face,39163,1332,290,22,45.0,3,Mid
S251,Saturday,10:00,Gym,No,10,Challenge,Text+Body,7401,172,26,6,62.6,0,Bad
S252,Sunday,14:00,Gym,No,17,Transformation,Text+Body,10031,342,45,3,50.8,0,Bad
S253,Friday,10:00,Gym,Yes,16,Challenge,Text+Body,1256,50,3,0,64.5,0,Bad
S254,Monday,14:00,Gym,Yes,12,Challenge,Text+Body,12614,257,31,5,51.8,0,Bad
S255,Tuesday,10:00,Gym,No,9,Relatable,Text+Body,4366,182,19,1,63.3,0,Bad
S256,Saturday,22:00,Gym,No,29,Relatable,Text+Body,16440,873,142,11,39.8,0,Mid
S257,Monday,14:00,Gym,No,8,Challenge,Text+Body,8774,325,32,5,58.6,0,Bad
S258,Saturday,15:00,Gym,No,19,Challenge,Text+Body,40747,1302,187,35,43.6,2,Mid
